"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"266","cord","","USA","Cordova AK ","web","335FA690","2.5","07:21","2h","6'","  [open]  ","-145.753","60.558"
"267","cord2","","USA","Cordova AK ","SXXX03","335FA690","-5.48","07:21","2h","6'","  [open]  ","-145.753","60.558"
"268","corf","","Greece","Kerkyra, Ionian Islands ","bgan","GR-CORF-00","0.01","09:07","3'","1'","  [open]  ","19.9099","39.7902"
"270","corn","","Greece","Corinth, Peloponnese ","bgan","GR-CORN-00","0.01","09:09","1'","1'","  [open]  ","22.9365","37.9452"
"271","corr","","Chile","Corral CL ","SXCH40","14066424","4.71","07:19","2h","5'","  [open]  ","-73.42748","-39.886595"
"272","corr2","","Chile","Corral CL ","web","","4.77","07:25","2h","5'","  [open]  ","-73.42748","-39.886595"
"273","coru","243","Spain","La Coruña ","web","","2.09","2024-03-20 07:51","167d","1d","  [open]  ","-8.4","43.3666"
"274","cove","","Colombia","Coveñas ","ftp","","-0.2","07:01","2h","15'","  [open]  ","-75.69","9.41"
"275","cpit","","New Zealand","Castlepoint ","SZNZ01","CPIT","3.27","07:22","2h","3'","  [open]  ","176.2316763","-40.89929"
"276","cpla","","USA","Calcasieu Pass, LA ","web","3368C732","0.65","07:21","2h","6'","  [open]  ","-93.3429","29.7682"
"277","cpla2","","USA","Calcasieu Pass, LA ","SXXX03","3368C732","-9.99","2024-09-01 20:27","2d","6'","  [open]  ","-93.3429","29.7682"
"278","CR08","","Italy","Crotone ","web","","-0.08","07:23","2h","5'","  [open]  ","17.137055555556","39.083580555556"
"279","crbc","","Canada","Campbell River ","SXAK50","CD402BD6","2.59","07:28","2h","5'","  [open]  ","-125.25","50.04"
"280","cres","","USA","Crescent City CA ","web","33622592","1.98","07:17","2h","6'","  [open]  ","-124.183","41.745"
"281","cres2","","USA","Crescent City CA ","SXXX03","33622592","-1.78","07:17","2h","6'","  [open]  ","-124.183","41.745"
"282","crnl","","Chile","Coronel CL ","SXCH40","ADC1C1DA","4.12","07:21","2h","5'","  [open]  ","-73.151731","-37.028605"
"283","crnl2","","Chile","Coronel CL ","web","","4.18","07:22","2h","5'","  [open]  ","-73.151731","-37.028605"
"284","crom","","UK","Cromer ","ftp","","5.1","07:00","2h","15'","  [open]  ","1.3","52.93"
"286","csta2","","Romania","Constanta2 ","web","","-7.3","07:21","2h","5'","  [open]  ","28.672","44.1475"
"288","cstr","","Chile","Castro CL ","SXCH40","ADC0935C","6.65","07:24","2h","5'","  [open]  ","-73.758181","-42.480894"
"289","cstr2","","Chile","Castro CL ","web","","6.66","07:23","2h","10'","  [open]  ","-73.758181","-42.480894"
"290","CT03","","Italy","Catania ","web","","0.09","07:23","2h","5'","  [open]  ","15.0938","37.498"
"291","cule","","USA","Culebra Is PR ","web","","0.19","07:18","2h","6'","  [open]  ","-65.3028","18.3008"
"292","cule2","","USA","Culebra Is PR ","SXXX03","3358913E","-3.38","2024-02-16 21:27","199d","6'","  [open]  ","-65.3028","18.3008"
"293","curri","","Philippines","Currimao ","SXXX33","12D7050E","8.98","07:18","2h","15'","  [open]  ","120.483333","18.016667"
"294","cuvie","","Australia","Cape Cuvier Wharf ","SZAU01","62385","0.46","07:26","2h","3'","  [open]  ","113.3969","-24.2206"
"295","cuxh","284","Germany","Cuxhaven ","web","","3.59","07:24","2h","5'","  [open]  ","8.7175","53.867778"
"296","cwfl","","USA","Clearwater Beach FL ","web","3358C142","0.77","07:21","2h","5'","  [open]  ","-82.832","27.978"
"297","cwfl2","","USA","Clearwater Beach FL ","SXXX50","3358C142","-5.22","07:14","2h","5'","  [open]  ","-82.832","27.978"
"298","cwme","","USA","Cutler Farris Wharf, ME ","web","33672252","1.7","07:18","2h","6'","  [open]  ","-67.21","44.656667"
"299","cwme2","","USA","Cutler Farris Wharf, ME ","SXXX03","33672252","-5.57","07:20","2h","6'","  [open]  ","-67.21","44.656667"
"300","dacp","","USA","DART South of Acapulco ","web","","3410.61","06:00","3h","6h","  [open]  ","-100.1406","10.8358"
"301","dacp2","","USA","DART South of Acapulco ","SZPN01","DD43413","3410.95","06:00","3h","6h","  [open]  ","-100.1406","10.8358"
"303","dadk","","USA","DART SSE of Adak Island ","web","","5614.92","06:00","3h","6h","  [open]  ","-174.2028","48.0017"
"304","dadk2","","USA","DART SSE of Adak Island ","SZPN01","DD46413","5614.79","06:00","3h","6h","  [open]  ","-174.2028","48.0017"
"305","dakar","253","Sénégal","Dakar ","SXXX33","360916B8","-2.5","2024-02-26 15:01","190d","15'","  [open]  ","-17.42","14.676"
"306","danc","","USA","DART SSE of Cordova ","web","","3726.08","06:00","3h","6h","  [open]  ","-143.8142","57.64"
"307","danc2","","USA","DART SSE of Cordova ","SZPN01","DD46410","","","","6h","  [open]  ","-143.8142","57.64"
"308","dapi","","Samoa","DART NW of Apia ","web","","4950.74","06:00","3h","6h","  [open]  ","-176.2469","-9.5183"
"309","dapi2","","USA","DART NW of Apia ","SZPS01","DD51425","4951.82","06:00","3h","6h","  [open]  ","-176.2469","-9.5183"
"311","dar2","","India","DART Arabian Sea ","web","","2825.82","2023-11-08 02:53","300d","6h","  [open]  ","67.3333","20.2"
"312","dara","","India","DART Arabian Sea ","web","","2789.45","06:00","3h","6h","  [open]  ","65.2839","20.7641"
"314","darw","62","Australia","Darwin AU ","SZAU01","63230","5.75","07:26","2h","3'","  [open]  ","130.8458","-12.4719"
"316","dat2","","USA","DART E of Boston ","web","","3957.55","2024-09-02 11:00","22h","6h","  [open]  ","-61.59","41.915"
"317","dat3","","USA","DART North of St Thomas ","web","","5802.16","06:00","3h","6h","  [open]  ","-63.7814","23.4208"
"318","dat4","","USA","DART E of Boston ","SZNT01","DD44403","3957.49","2024-09-02 11:00","22h","6h","  [open]  ","-61.59","41.915"
"319","dat5","","USA","DART North of St Thomas ","SZNT01","DD41421","5801.72","06:00","3h","6h","  [open]  ","-63.7814","23.4208"
"321","datu","","USA","DART South of Attu ","web","","4720.12","06:00","3h","6h","  [open]  ","171.8972","50.1533"
"322","datu2","","USA","DART South of Attu ","SZPN01","DD21415","4720.64","06:00","3h","6h","  [open]  ","171.8972","50.1533"
"323","davo","71","Philippines","Davao PH ","SZXX01","301434061609060","7.49","07:20","2h","5'","  [open]  ","125.6629","7.1537"
"326","dber","","Bermudas","DART SSW of Hamilton ","web","","5230.24","06:00","3h","6h","  [open]  ","-65.6211","28.6672"
"327","dber2","","USA","DART SSW of Hamilton ","SZNT01","DD41425","5229.57","06:00","3h","6h","  [open]  ","-65.6211","28.6672"
"328","dcal","","USA","DART West of Mendocino Bay ","web","","4265.86","06:00","3h","6h","  [open]  ","-127.0736","39.3511"
"329","dcal2","","USA","DART West of Mendocino Bay ","SZPN01","DD46411","4266.72","06:00","3h","6h","  [open]  ","-127.0736","39.3511"
"330","dcar","","USA","DART Southwest of San Juan ","web","","4498.7","06:00","3h","6h","  [open]  ","-68.2311","15.2517"
"331","dcar2","","USA","DART Southwest of San Juan ","SZNT01","DD42407","4498.7","06:00","3h","6h","  [open]  ","-68.2311","15.2517"
"332","dch2","","Chile","DART West of Antofagasta ","web","","4266.92","06:00","3h","6h","  [open]  ","-72.06625","-23.169383"
"333","dch3","","Chile","DART NW of Concepcion ","web","","4125.6","06:00","3h","6h","  [open]  ","-75.283767","-35.74695"
"334","dch4","","Chile","DART West of Antofagasta ","SZPS02","DD32403","4266.4","06:00","3h","6h","  [open]  ","-72.06625","-23.169383"
"335","dch5","","Chile","DART NW of Concepcion ","SZPS02","DD34420","4125.5","06:00","3h","6h","  [open]  ","-75.283767","-35.74695"
"336","dchi","","Chile","DART West of Iquique ","web","","4747.26","06:00","3h","6h","  [open]  ","-73.421667","-20.441667"
"337","dchi2","","Chile","DART West of Iquique ","SZPS01","DD32401","4746.74","06:00","3h","6h","  [open]  ","-73.421667","-20.441667"
"338","dchr","","USA","DART SE of Chirikof Island ","web","","4679.47","2024-07-21 00:00","44d","6h","  [open]  ","-152.4833","53.7256"
"339","dchr2","","USA","DART SE of Chirikof Island ","SZPN01","DD46414","4679.64","2024-07-21 00:00","44d","6h","  [open]  ","-152.4833","53.7256"
"340","dchu","","USA","DART South of Umnak Is ","web","","5387.19","06:00","3h","6h","  [open]  ","-169.8717","49.6625"
"341","dchu2","","USA","DART South of Umnak Is ","SZPN01","DD46408","5386.87","06:00","3h","6h","  [open]  ","-169.8717","49.6625"
"342","dcld","","Chile","DART West of Caldera ","web","","4060.17","06:00","3h","6h","  [open]  ","-73.98453","-26.744836"
"343","dcld2","","Chile","DART West of Caldera ","SZPS01","DD32402","4059.75","06:00","3h","6h","  [open]  ","-73.98453","-26.744836"
"346","dcor","","Australia","DART ENE of Townsville ","web","","3346.87","06:00","3h","6h","  [open]  ","158.4644","-15.7109"
"347","dcor2","","Australia","DART ENE of Townsville ","SZOC40","55012","3347.01","06:00","3h","6h","  [open]  ","158.4644","-15.7109"
"348","dcr2","","Australia","DART NE of Townsville ","web","","4593.78","06:00","3h","6h","  [open]  ","153.5374","-14.7148"
"349","dcr3","","Australia","DART NE of Townsville ","SZOC43","55023","4593.46","06:00","3h","6h","  [open]  ","153.5374","-14.7148"
"351","deke","115","Micronesia","Dekehtik,Pohnpei FM ","SZPA01","67950","-999","07:26","2h","3'","  [open]  ","158.2001","6.9806"
"352","delf","","Netherlands","Delfzijl ","web","","-0.22","07:00","2h","10'","  [open]  ","6.93296994175","53.3266112653"
"353","denh","","Netherlands","Den Helder ","web","","0.84","07:00","2h","10'","  [open]  ","4.74342344269","52.9636753352"
"355","dese","190","Argentina","Puerto Deseado ","SEPO40","33912088","5.92","07:19","2h","15'","  [open]  ","-65.91469444","-47.75357778"
"356","desh","","France","Deshaies, Guadeloupe ","SXMF40","12A0419C","0.01","07:25","2h","5'","  [open]  ","-61.79591","16.30529"
"359","dgal","","Perú","DART WNW of Lima ","web","","3912.21","2024-05-24 06:00","102d","6h","  [open]  ","-93.5169","-7.4064"
"360","dgal2","","USA","DART WNW of Lima ","SZPS01","DD32413","3912.37","2024-05-24 06:00","102d","6h","  [open]  ","-93.5169","-7.4064"
"363","dgul","","USA","DART South of New Orleans ","web","","3199.46","07:00","2h","6h","  [open]  ","-89.2514","25.8514"
"364","dgul2","","USA","DART South of New Orleans ","SZNT01","DD42409","3199.62","07:00","2h","6h","  [open]  ","-89.2514","25.8514"
"365","dgum","","Guam","DART West of Agana ","web","","5797.02","06:00","3h","6h","  [open]  ","132.165","12.985"
"366","dgum2","","USA","DART West of Agana ","SZPN01","DD52405","5793.12","06:00","3h","6h","  [open]  ","132.165","12.985"
"367","dhai","","Canada","DART West of Vancouver ","web","","3393.02","06:00","3h","6h","  [open]  ","-134.395","49.9014"
"368","dhai2","","USA","DART West of Vancouver ","SZPN01","DD46416","3393.36","06:00","3h","6h","  [open]  ","-134.395","49.9014"
"369","dhaw","","USA","DART West of Kailua-Kona ","web","","4741.62","06:00","3h","6h","  [open]  ","-156.5472","19.5605"
"370","dhaw2","","USA","DART West of Kailua-Kona ","SZPN01","DD51407","4741.21","06:00","3h","6h","  [open]  ","-156.5472","19.5605"
"371","dhon","","USA","DART NE of Guadalcanal ","web","","1775.75","06:00","3h","6h","  [open]  ","165.0019","-5.2931"
"372","dhon2","","USA","DART NE of Guadalcanal ","SZPS01","DD52406","1776.95","06:00","3h","6h","  [open]  ","165.0019","-5.2931"
"374","dial","","USA","Dauphin Island AL ","web","335752B2","0.39","07:21","2h","6'","  [open]  ","-88.1","30.2"
"377","diel","","France","Dielette ","ftp","","9.19","07:24","2h","5'","  [open]  ","-1.86","49.55"
"378","diel2","","France","Dielette 2 ","SZFR01","FR628","9.23","07:15","2h","6'","  [open]  ","-1.86","49.55"
"379","diep","","France","Dieppe ","ftp","","3.2","07:24","2h","5'","  [open]  ","1.085","49.93"
"380","diep2","","France","Dieppe 2 ","SZFR01","FR024","2.95","07:17","2h","6'","  [open]  ","1.085","49.93"
"385","djun","","USA","DART SW of Juneau ","web","","3563.13","06:00","3h","6h","  [open]  ","-139.95","52.98"
"386","djun2","","USA","DART SW of Juneau ","SZPN01","DD46415","3562.98","06:00","3h","6h","  [open]  ","-139.95","52.98"
"387","djve","","Australia","DART NNE of Dampier ","web","","5659.5","06:00","3h","6h","  [open]  ","117.9418","-15.0234"
"388","djve2","","Australia","DART NNE of Dampier ","SZIO41","56003","5658.75","06:00","3h","6h","  [open]  ","117.9418","-15.0234"
"389","djvw","","Australia","DART NW of Dampier ","web","","5089.52","2023-09-15 04:42","354d","6h","  [open]  ","110.097","-13.9908"
"390","djvw2","","Australia","DART NW of Dampier ","SZIO40","56001","","","","6h","  [open]  ","110.097","-13.9908"
"391","dkam","","USA","DART SE of Kamchatka Peninsula ","web","","5753.34","06:00","3h","6h","  [open]  ","163.5211","48.0528"
"392","dkam2","","USA","DART SE of Kamchatka Peninsula ","SZPN01","DD21416","5754.05","06:00","3h","6h","  [open]  ","163.5211","48.0528"
"393","dkod","","USA","DART SE of Kodiak ","web","","4198.92","06:00","3h","6h","  [open]  ","-148.55","55.31"
"394","dkod2","","USA","DART SE of Kodiak ","SZPN01","DD46409","4198.28","06:00","3h","6h","  [open]  ","-148.55","55.31"
"396","dkur","","USA","DART SE of Kuril Is. ","web","","5322.39","06:00","3h","6h","  [open]  ","155.7187","44.435"
"397","dkur2","","USA","DART SE of Kuril Is. ","SZPN01","DD21419","5323.19","06:00","3h","6h","  [open]  ","155.7187","44.435"
"398","dkwa","","USA","DART ESE of Saipan ","web","","5886.17","06:00","3h","6h","  [open]  ","153.9072","11.9261"
"399","dkwa2","","USA","DART ESE of Saipan ","SZPN01","DD52402","5886.43","06:00","3h","6h","  [open]  ","153.9072","11.9261"
"402","dlpr","","UK","Deal Pier ","web","","-1.78","07:28","2h","0.1666'","  [open]  ","1.40926","51.22379"
"403","dmaa","","Ecuador","DART West of Manta ","web","","1680.7","05:00","4h","6h","  [open]  ","-81.664","-0.888"
"407","dmnz","","USA","DART SW of Manzanillo ","web","","3020.84","06:00","3h","6h","  [open]  ","-106.9944","16.0106"
"408","dmnz2","","USA","DART SW of Manzanillo ","SZPN01","DD43412","3020.87","06:00","3h","6h","  [open]  ","-106.9944","16.0106"
"409","dmon","","USA","DART SE of Fire Island ","web","","2631","06:00","3h","6h","  [open]  ","-70.6531","39.2964"
"410","dmon2","","USA","DART SE of Fire Island ","SZNT01","DD44402","2630.12","06:00","3h","6h","  [open]  ","-70.6531","39.2964"
"413","dni2","","India","DART Bay of Bengal ","web","","3801.53","06:00","3h","6h","  [open]  ","88.7919","6.2547"
"415","dni4","","India","DART Bay of Bengal ","web","","2368.33","2024-06-19 14:00","76d","6h","  [open]  ","89.4833","17.3333"
"418","dni7","","India","DART Bay of Bengal ","web","","2709.09","2024-02-08 08:00","208d","6h","  [open]  ","89.333","14.433"
"419","dnic","","Thailand","DART WNW of Phuket ","web","","3466.02","2024-05-04 19:00","122d","6h","  [open]  ","88.5369","8.905"
"420","dnic2","","Thailand","DART WNW of Phuket ","SZIO02","DD23401","3465.45","2024-05-04 19:00","122d","6h","  [open]  ","88.55","8.86"
"422","dnwp","","USA","DART South of Amchitka ","web","","5442.67","06:00","3h","6h","  [open]  ","178.2272","48.9675"
"423","dnwp2","","USA","DART South of Amchitka ","SZPN01","DD21414","5442.91","06:00","3h","6h","  [open]  ","178.2272","48.9675"
"424","dnza","","New Zealand","DART New Zealand E Coast ","web","","2635.1","06:00","3h","6h","  [open]  ","176.9109","-42.3707"
"425","dnza2","","New Zealand","DART New Zealand E Coast ","SZNZ41","5501002","2635.1","06:00","3h","6h","  [open]  ","176.9109","-42.3707"
"426","dnzb","","New Zealand","DART New Zealand E Coast ","web","","3185.06","06:00","3h","6h","  [open]  ","179.0962","-40.5992"
"427","dnzb2","","New Zealand","DART New Zealand E Coast ","SZNZ42","5501003","3183.86","2024-06-07 12:00","88d","6h","  [open]  ","179.0962","-40.5992"
"428","dnzc","","New Zealand","DART New Zealand E Coast ","web","","3545.85","06:00","3h","6h","  [open]  ","-179.7978","-38.2001"
"429","dnzc2","","New Zealand","DART New Zealand E Coast ","SZNZ43","5401000","3545.85","06:00","3h","6h","  [open]  ","-179.7978","-38.2001"
"430","dnzd","","New Zealand","DART New Zealand ","web","","2446.68","06:00","3h","6h","  [open]  ","178.6037","-36.0999"
"431","dnzd2","","New Zealand","DART New Zealand ","SZNZ44","5501004","2446.68","06:00","3h","6h","  [open]  ","178.6037","-36.0999"
"432","dnze","","New Zealand","DART New Zealand E Coast ","web","","5777.6","06:00","3h","6h","  [open]  ","-177.708","-36.0493"
"433","dnze2","","New Zealand","DART New Zealand E Coast ","SZNZ45","5401001","5777.6","06:00","3h","6h","  [open]  ","-177.708","-36.0493"
"434","dnzf","","New Zealand","DART Tonga ","web","","5064.86","06:00","3h","6h","  [open]  ","-175.0125","-29.6826"
"435","dnzf2","","New Zealand","DART Tonga ","SZNZ46","5401002","5064.86","06:00","3h","6h","  [open]  ","-175.0125","-29.6826"
"436","dnzg","","New Zealand","DART Tonga ","web","","5739.43","06:00","3h","6h","  [open]  ","-173.4018","-23.3517"
"437","dnzg2","","New Zealand","DART Tonga ","SZPA47","5401003","5739.43","06:00","3h","6h","  [open]  ","-173.4018","-23.3517"
"438","dnzh","","New Zealand","DART Tonga ","web","","5531.36","06:00","3h","6h","  [open]  ","-171.863","-20.0885"
"439","dnzh2","","New Zealand","DART Tonga ","SZPA48","5401004","5531.36","06:00","3h","6h","  [open]  ","-171.863","-20.0885"
"440","dnzi","","New Zealand","DART Tonga ","web","","5237.35","06:00","3h","6h","  [open]  ","-171.1905","-16.889"
"441","dnzi2","","New Zealand","DART Tonga ","SZPA49","5401005","5237.35","06:00","3h","6h","  [open]  ","-171.1905","-16.889"
"442","dnzj","","New Zealand","DART New Zealand ","web","","1916.88","06:00","3h","6h","  [open]  ","163.9549","-26.6672"
"443","dnzj2","","New Zealand","DART New Zealand ","SZPA50","5501005","1916.88","06:00","3h","6h","  [open]  ","163.9549","-26.6672"
"444","dnzk","","New Zealand","DART New Zealand ","web","","2098.23","06:00","3h","6h","  [open]  ","169.4988","-24.3093"
"445","dnzk2","","New Zealand","DART New Zealand ","SZPA51","5501006","2098.23","06:00","3h","6h","  [open]  ","169.4988","-24.3093"
"446","dnzl","","New Zealand","DART New Zealand ","web","","3862.91","06:00","3h","6h","  [open]  ","166.782","-19.3096"
"447","dnzl2","","New Zealand","DART New Zealand ","SZPA52","5501007","3862.91","06:00","3h","6h","  [open]  ","166.782","-19.3096"
"448","dorg","","USA","DART West of Coos Bay ","web","","3269.08","2023-11-06 08:00","302d","6h","  [open]  ","-128.8378","42.7178"
"449","dorg2","","USA","DART West of Coos Bay ","SZPN01","DD46407","3267.76","2023-11-06 08:00","302d","6h","  [open]  ","-128.8378","42.7178"
"450","dove","","UK","Dover ","ftp","","1.46","07:00","2h","15'","  [open]  ","1.32","51.11"
"451","dpan","","Panamá","DART WSW of Panama City ","web","","3200.87","06:00","3h","6h","  [open]  ","-90.8433","4.9917"
"452","dpan2","","USA","DART WSW of Panama City ","SZPN01","DD32411","3201.53","06:00","3h","6h","  [open]  ","-90.8433","4.9917"
"454","dpeb","","Ecuador","DART West of Pedernales ","web","","2297.49","06:00","3h","6h","  [open]  ","-81.211","0.255"
"456","dphi","","Philippines","DART NE of Manila ","web","","5926.16","2024-04-16 02:00","140d","6h","  [open]  ","132.1636","20.6906"
"458","dpnc","219","USA","Duck Pier NC ","web","335DD5F4","0.52","07:21","2h","5'","  [open]  ","-75.7466","36.1833"
"459","dpnc2","219","USA","Duck Pier NC ","SXLA03","335DD5F4","","","","5'","  [open]  ","-75.7466","36.1833"
"460","dpor","","USA","DART West of Astoria ","web","","2738.06","06:00","3h","6h","  [open]  ","-128.7333","45.8533"
"461","dpor2","","USA","DART West of Astoria ","SXAK91","DD46404","","","","6h","  [open]  ","-128.7333","45.8533"
"464","dryu","","USA","DART Southeast of Miyazaki ","web","","4818.77","06:00","3h","6h","  [open]  ","135.0219","28.8906"
"465","dryu2","","USA","DART Southeast of Miyazaki ","SZPN01","DD21420","4818.57","06:00","3h","6h","  [open]  ","135.0219","28.8906"
"467","dsai","","USA","DART ENE of Saipan ","web","","5567.63","06:00","3h","6h","  [open]  ","155.7345","19.2656"
"468","dsai2","","USA","DART ENE of Saipan ","SZPN01","DD52401","5567.9","06:00","3h","6h","  [open]  ","155.7345","19.2656"
"470","dsea","","USA","DART WNW of Seattle ","web","","2772.43","06:00","3h","6h","  [open]  ","-129.6219","48.8128"
"471","dsea2","","USA","DART WNW of Seattle ","SZPN01","DD46419","2773.15","06:00","3h","6h","  [open]  ","-129.6219","48.8128"
"472","dsen","","USA","DART NE of Tokyo ","web","","5613.2","06:00","3h","6h","  [open]  ","148.8364","38.7231"
"473","dsen2","","USA","DART NE of Tokyo ","SZPN01","DD21418","5613.89","06:00","3h","6h","  [open]  ","148.8364","38.7231"
"474","dshu","","USA","DART SE of Shumagin Is ","web","","4504.4","06:00","3h","6h","  [open]  ","-156.7783","52.6633"
"475","dshu2","","USA","DART SE of Shumagin Is ","SZPN01","DD46403","","","","6h","  [open]  ","-156.7783","52.6633"
"477","dstl","","USA","DART NNE of Santo Domingo ","web","","5761.22","2024-05-03 00:00","123d","6h","  [open]  ","-67.3083","23.4483"
"478","dstl2","","USA","DART NNE of Santo Domingo ","SZNT01","DD41420","5761.28","2024-05-03 00:00","123d","6h","  [open]  ","-67.3083","23.4483"
"480","dta3","","Australia","DART ESE of Hobart ","web","","4838.13","2024-04-18 13:00","138d","6h","  [open]  ","161.8412","-44.8978"
"481","dta4","","Australia","DART ESE of Hobart ","SZOC45","55042","4838.27","2024-04-18 13:00","138d","6h","  [open]  ","161.8412","-44.8978"
"483","dtas","","Australia","DART ESE of Hobart ","web","","4996.15","06:00","3h","6h","  [open]  ","160.2562","-46.8295"
"484","dtas2","","Australia","DART ESE of Hobart ","SZOC41","55015","4995.09","06:00","3h","6h","  [open]  ","160.2562","-46.8295"
"485","dtok","","USA","DART ESE of Tokyo ","web","","5824.11","06:00","3h","6h","  [open]  ","152.07","30.5333"
"486","dtok2","","USA","DART ESE of Tokyo ","SZPN01","DD21413","5824.5","06:00","3h","6h","  [open]  ","152.07","30.5333"
"488","dtru","","Papua New Guinea","DART North of Manus Is ","web","","4437.52","06:00","3h","6h","  [open]  ","145.54","4.0183"
"489","dtru2","","USA","DART North of Manus Is ","SZPN01","DD52403","4437.42","06:00","3h","6h","  [open]  ","145.54","4.0183"
"490","dumo","131","Antarctica","Dumont d'Urville ","ftp","","5.74","03:00","6h","4h","  [open]  ","140.001667","-66.651944"
"491","duni","","USA","DART SSE of Dutch Harbor ","web","","4712.99","06:00","3h","6h","  [open]  ","-164.0667","51.0247"
"492","duni2","","USA","DART SSE of Dutch Harbor ","SZPN01","DD46402","4712.42","06:00","3h","6h","  [open]  ","-164.0667","51.0247"
"493","dunk","","France","Dunkerque ","ftp","","1.22","07:25","2h","5'","  [open]  ","2.366698","51.04809"
"494","dunk2","","France","Dunkerque 2 ","SZFR01","FR002","1.13","07:15","2h","6'","  [open]  ","2.366698","51.04809"
"495","duqm","","Oman","Duqm ","SXOM33","18EB74F4","-999","2024-05-20 10:58","106d","6'","  [open]  ","57.72","19.66"
"497","dutc","102","USA","Dutch Hbr Unalaska ","web","3360A672","0.59","07:23","2h","6'","  [open]  ","-166.5333","53.88333"
"498","dutc2","102","USA","Dutch Hbr Unalaska ","SXXX03","3360A672","-2.95","07:22","2h","6'","  [open]  ","-166.5333","53.88333"
"499","dval","","Chile","DART NW of Valparaiso ","web","","4160.73","06:00","3h","6h","  [open]  ","-73.796195","-32.129931"
"500","dval2","","Chile","DART NW of Valparaiso ","SZPS02","DD32404","4160.45","06:00","3h","6h","  [open]  ","-73.796195","-32.129931"
"501","dzao","96","France","Dzaoudzi (Mayotte) ","ftp","","1.76","07:24","2h","5'","  [open]  ","45.2583","-12.783333"
"502","dzao2","96","France","Dzaoudzi (Mayotte) 2 ","SZIO01","FR030","1.76","07:12","2h","15'","  [open]  ","45.2583","-12.783"
"503","e4bs","","Sweden","E4 Bron Sodertalje ","web","","0.15","07:00","2h","1h","  [open]  ","17.642778","59.184722"
"504","east","137","Chile","Isla de Pascua (Rapa Nui) ","SXCH40","93202BDA","3.04","07:22","2h","5'","  [open]  ","-109.439426","-27.15485"
"505","east2","137","Chile","Isla de Pascua (Rapa Nui) ","web","","3","07:26","2h","5'","  [open]  ","-109.439426","-27.15485"
"508","efjm","210","Jamaica","Errol Flynn Marina Portland ","SOJM10","924197EC","179.4","2023-09-14 05:55","355d","5'","  [open]  ","-76.453678","18.182888"
"509","eila","","USA","Eugene Island LA ","SXXX03","3352A5F6","","","","1h","  [open]  ","-91.39","29.37"
"510","elak","","USA","Elfin Cove AK ","web","33604580","2.06","07:21","2h","6'","  [open]  ","-136.3433","58.1933"
"511","elak2","","USA","Elfin Cove AK ","SXXX03","33604580","-4.14","07:21","2h","6'","  [open]  ","-136.3433","58.1933"
"513","elja1","","Morocco","el jadida ","bgan","MO-ELJ1-00","3.5","00:01","9h","1'","  [open]  ","-8.499783333","33.25562222"
"514","ellb","","USA","Elliot Bay,Seattle ","SXXX03","3368022C","","","","6'","  [open]  ","-122.335","47.602"
"515","elpo","","Panamá","El Porvenir ","SZXX01","300434067057990","6.79","07:20","2h","5'","  [open]  ","-78.94918","9.55827"
"518","epme","","USA","East Port ME ","web","3365875E","2.54","07:21","2h","6'","  [open]  ","-66.985","44.9033"
"519","epme2","","USA","East Port ME ","SXXX03","3365875E","-7.05","07:14","2h","6'","  [open]  ","-66.985","44.9033"
"520","erdek","","Turkey","Erdek ","web","","1.94","07:24","2h","2'","  [open]  ","27.845176696777","40.389873504639"
"521","erdem","","Turkey","Erdemli ","web","","1.99","07:24","2h","2'","  [open]  ","34.25538719","36.56372892"
"522","esme","","Ecuador","Esmeraldas ","web","","3.61","07:09","2h","10'","  [open]  ","-79.64661","0.99088"
"523","espe","54","Australia","Esperance AU ","SZAU01","62080","0.7","07:26","2h","3'","  [open]  ","121.8954","-33.8709"
"526","euro","","Netherlands","Europlatform ","web","","-0.44","07:00","2h","10'","  [open]  ","3.27468700289","51.9976988652"
"527","exmt","","UK","Exmouth Marina ","web","","1.72","07:28","2h","0.1666'","  [open]  ","-3.4235833","50.6173833"
"528","faja","","Puerto Rico","Fajardo PR ","SXXX03","3366C35A","-3.03","07:20","2h","6'","  [open]  ","-65.6311","18.3336"
"529","falk","","Sweden","Falkenberg ","web","","0.01","07:00","2h","1h","  [open]  ","12.489444","56.891944"
"530","fbfl","","USA","Fernadina Beach FL ","web","336782AA","0.2","07:21","2h","6'","  [open]  ","-81.465","30.672"
"531","fbfl2","","USA","Fernadina Beach FL ","SXXX03","336782AA","-4.51","07:21","2h","6'","  [open]  ","-81.465","30.672"
"532","fer1","","Spain","Ferrol1 ","ftp","","1.5","07:22","2h","4'","  [open]  ","-8.32582","43.46285"
"533","fer2","","Spain","Ferrol2 ","ftp","","1.5","07:22","2h","4'","  [open]  ","-8.24851","43.47618"
"534","ferg","60","Australia","Cape Ferguson AU ","SZAU01","59260","1.34","07:26","2h","3'","  [open]  ","147.0584","-19.2773"
"536","ffcj","","Australia","Flying Fish Cove Jetty Christmas Is AU ","SZIO01","46291","0.4","07:26","2h","3'","  [open]  ","105.6694","-10.4294"
"537","figu","","France","La Figueirette ","ftp","","0.65","07:24","2h","5'","  [open]  ","6.933767","43.483532"
"538","figu2","","France","La Figueirette2 ","SZFR01","FR0846","0.65","07:15","2h","6'","  [open]  ","6.933767","43.483532"
